City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1192,Ko Samui,TH,82.83,light rain,9.5357,99.9357,"The Passage Samui Villas & Resort, Thailand"
1195,Porto Velho,BR,91.45,scattered clouds,-8.7619,-63.9039,Hotel Central
1200,Kudahuvadhoo,MV,83.62,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
1204,Lompoc,US,80.85,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
1211,Lebanon,US,84.96,scattered clouds,36.2081,-86.2911,Hampton Inn & Suites Lebanon
1213,Kikwit,CD,80.17,broken clouds,-5.041,18.8162,HOTEL PLACE YALABA
1219,Mana,GF,81.3,broken clouds,5.6592,-53.7767,LE SAMANA
1222,Powell,US,84.88,broken clouds,40.1578,-83.0752,The Brig
1225,Ciudad Bolivar,VE,89.19,overcast clouds,8.1222,-63.5497,Hotel Edi
1227,Sakakah,SA,90.97,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
1229,Carballo,ES,81.09,clear sky,43.213,-8.691,Pazo do Souto
1230,Gazojak,TM,87.24,clear sky,41.1875,61.4036,In gowy adamlaryñ yaśayan oyi
1231,Waddan,LY,83.93,clear sky,29.1614,16.139,محل الشريف محمد العايب
1232,Qandala,SO,91.96,overcast clouds,11.472000000000001,49.8728,
1234,Grand-Santi,GF,80.64,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
1235,Cambuci,BR,81.84,overcast clouds,-21.5753,-41.9111,Pousada Beija Flor Hotel
1237,La Macarena,CO,84.99,broken clouds,2.1837,-73.7849,Hotel Punto Verde
1242,Kisangani,CD,81.72,broken clouds,0.5167,25.2,Grand Ramela Hotel
1246,Aracati,BR,87.31,few clouds,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
1247,Nortelandia,BR,84.56,overcast clouds,-14.4547,-56.8028,Hotel Karysmã
1249,Khamanon,IN,90.79,clear sky,30.8186,76.3508,Khamanon Bus Stand
1257,Barcelos,PT,86.29,scattered clouds,41.5388,-8.6151,Hotel Do Terço
1261,Samarai,PG,80.15,clear sky,-10.6167,150.6667,Nuli Sapi
1264,Cotonou,BJ,80.58,light rain,6.3654,2.4183,Novotel Cotonou Orisha
1266,Qinzhou,CN,80.22,broken clouds,21.95,108.6167,Jinjiang Inn Style Qingzhou Walmart
1268,Balkanabat,TM,81.52,clear sky,39.5108,54.3671,Nebitchi Hotel
1270,Havelock,US,90.05,overcast clouds,34.8791,-76.9013,Sherwood Motel
1276,Sao Miguel,BR,86.77,clear sky,-5.4667,-35.3667,CEJ - Centro Escoteiro da Juventude
1277,Najran,SA,90.25,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
1281,Carrollton,US,91.76,scattered clouds,32.9537,-96.8903,Days Inn by Wyndham North Dallas/Farmers Branch
1282,Russell,US,87.96,broken clouds,32.3502,-85.1999,Macs
1287,Minab,IR,90.9,clear sky,27.1467,57.0801,Bam campground
1288,Iberia,US,89.98,clear sky,29.9502,-91.7507,back to back rv park
1295,Enid,US,99.14,scattered clouds,36.3956,-97.8784,Ramada by Wyndham Enid
1300,Brignais,FR,82.8,clear sky,45.6736,4.7548,Hôtel Kyriad Lyon-Sud Saint-Genis-Laval
1304,Fonte Boa,BR,88.43,overcast clouds,-2.4959,-66.2662,
1305,Saint Anthony,US,84.52,clear sky,45.0205,-93.21799999999999,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
1307,Kantunilkin,MX,89.44,overcast clouds,21.0917,-87.45,Posada Paraiso
1310,Rockford,US,93.54,scattered clouds,42.2711,-89.094,City Plaza Suites
1312,Nha Trang,VN,82.4,overcast clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
1313,Totness,SR,83.48,scattered clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
1319,Son Tay,VN,82.33,overcast clouds,21.1378,105.505,Khách Sạn Đông Thành
1321,Macedo De Cavaleiros,PT,80.31,light rain,41.5382,-6.9611,Casa das Argolas
1324,Nauta,PE,92.95,few clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
1328,Telimele,GN,80.94,overcast clouds,10.9167,-13.3333,
1331,Manama,BH,98.78,dust,26.2154,50.5832,Al Safir Hotel & Tower
1333,Shelbyville,US,84.25,overcast clouds,35.4834,-86.4603,Best Western Shelbyville Inn And Suites Celebration Inn
1335,Tutoia,BR,87.78,scattered clouds,-2.7619,-42.2744,Pousada Guará's
1336,Mahibadhoo,MV,83.41,scattered clouds,3.7833,72.9667,Omadhoo Inn
1345,Morant Bay,JM,86.67,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
1347,Tomatlan,MX,93.38,clear sky,19.9333,-105.25,El Salvial
1349,Gizo,SB,81.18,few clouds,-8.103,156.8419,Imagination Island
